"role","file","source","source_repository","source_commit","source_path","source_sha256","sha256","source_access","provenance_status","note"
"frq","bet.frq","steps/18-GroupedSelectivityRobustness/model/bet.frq","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.frq","d77f97c348409f845f1f0fc801af808d15b6cb119349d1f083308cfc9d4fba8c","a5c187006d6deeaea3ba024b22ba9018c04287350ad50294e536eff67f228881","public","locked","Terminal-2022 Job 15363 retrospective input with original release-group exclusion(s): 59, 60."
"ini","bet.ini","steps/18-GroupedSelectivityRobustness/model/bet.ini","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.ini","6252baa726e1c6f5f362b45a1df14bceda91ccfaa1192c38e9f070193544ce84","670b85e3800339a75d3dbe0ac81d71f8fe43e265e57766732a118b6d4d518dc5","public","locked","MFCL-1007 tag sections synchronized for original release-group exclusion(s): 59, 60."
"tag","bet.tag","steps/18-GroupedSelectivityRobustness/model/bet.tag","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.tag","b140e66eb52f2b7e022ef2c562134f8bc9baf3dede18ce95283a001acd2b013f","7ae917515721e931906ec89142dab0e15bf8a64b14ee94041c4ea10843605525","public","locked","Terminal-2022 tag input with original release-group exclusion(s): 59, 60; retained groups are contiguous."
"age_length","bet.age_length","steps/18-GroupedSelectivityRobustness/model/bet.age_length","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/bet.age_length","426859b825bd815aa69c8d97c9dd93097027ed1eb6b9e444d88b69562097a00c","1e856600397b6a3b0016ec478fe2ad2bc1dc6daa86f4dc253fd2fd326cca301f","public","locked","Terminal-2022 Job 15363 retrospective age-length input; identical among sensitivity cells."
"doitall","doitall.sh","steps/18-GroupedSelectivityRobustness/model/doitall.sh","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model/doitall.sh","0d1c24adb2675c8c60d4ce7f6c48227b7eec5ecbc1ef3dad7b95c1939ab90a01","0d1c24adb2675c8c60d4ce7f6c48227b7eec5ecbc1ef3dad7b95c1939ab90a01","public","locked","Complete Job 15363 native-MFCL doitall controls; unchanged."
"cpue_mle_sigma","cpue_mle_sigma_audit.csv","config/job13328-cpue-sigma.csv","","7d29c47","config/job13328-cpue-sigma.csv","0d615db579682c5688e439d0b34a702634584f13bb38c78d238e366755049233","c41b2e86fcc658dbe46b706782bd8bdb78abcd1d55daf9ad1d432dde6e42a310","unverified","unlocked","Job13328 submitted S011 CPUE MLE sigma; PacificCommunity/ofp-sam-bet-2026-exploration@c940601bb95797a5cc5b4a2dbc01cfd6daa86a70/sensitivity/S011-DM-G8PSSET-CEST-NOCUT-SUB075-MIX015-TAGF2ON-NMAX25-REGW100-RRPTTP26/model/doitall.sh; SHA256 a47ef47502d94229bc68ea963256e6243e2579fce4320a21a2eb55fc738ed471"
"scientific_parent","JOB15498/peel_2","Job 15363 terminal-2022 retrospective peel","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","b27d150c1448c9c79654c906cc8096082b401636","steps/18-GroupedSelectivityRobustness/model","","","public","locked","Job 15498 peel 2 identifies the terminal-2022 comparison point; all four cells are rerun under one common convergence setting."
"tag_sensitivity_builder","mfclkit","PacificCommunity/ofp-sam-mfclkit","https://github.com/PacificCommunity/ofp-sam-mfclkit","a0fe04baa9c119353123367e5a652bb73d909b84","R/retro.R","","","public","locked","Used to reproduce the terminal-2022 peel and synchronize TAG/INI/FRQ release-group handling."
"tag_sensitivity_audit","model/tag_group_sensitivity_audit.csv","R/build_terminal2022_tag_group_sensitivities.R","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","","R/build_terminal2022_tag_group_sensitivities.R","","9fa57616cac11ea045567987e2822c1aeb383da35cba7768aa0c2e9f69f9c5f0","public","generated","Original G59/G60 release metadata and inclusion status."
"tag_group_renumbering","model/tag_group_renumbering.csv","R/build_terminal2022_tag_group_sensitivities.R","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","","R/build_terminal2022_tag_group_sensitivities.R","","26d54f7db3d61478bf2f6564fc6684e63b8b6edd0a2a8c213a61d856441e5c0d","public","generated","One-pass mapping from original to fitted release-group numbers."
"tag_reporting_rate_audit","model/tag_rep_map.R","R/build_terminal2022_tag_group_sensitivities.R","https://github.com/PacificCommunity/ofp-sam-bet-2026-stepwise","","R/build_terminal2022_tag_group_sensitivities.R","","5c8d8f9e2c8cd09b1892b1c3bceb5714bd1b6c9dc1e127ccc36c7eb004d89659","public","generated","Regenerated from the synchronized bet.ini and bet.tag files."
